model,dataset,target,layer,rho_euclidean,rho_hyperbolic,dist_euclidean,dist_hyperbolic
Qwen/Qwen2.5-7B,prontoqa,depth,0,0.179,0.064,1.146,1.252
Qwen/Qwen2.5-7B,prontoqa,depth,1,0.88,0.009,0.379,1.582
Qwen/Qwen2.5-7B,prontoqa,depth,2,0.907,0.128,0.312,1.115
Qwen/Qwen2.5-7B,prontoqa,depth,3,0.891,-0.001,0.355,1.336
Qwen/Qwen2.5-7B,prontoqa,depth,4,0.897,0.072,0.34,1.268
Qwen/Qwen2.5-7B,prontoqa,depth,5,0.9,0.186,0.327,1.292
Qwen/Qwen2.5-7B,prontoqa,depth,6,0.902,0.082,0.321,1.166
Qwen/Qwen2.5-7B,prontoqa,depth,7,0.915,0.044,0.273,1.29
Qwen/Qwen2.5-7B,prontoqa,depth,8,0.901,0.193,0.326,1.263
Qwen/Qwen2.5-7B,prontoqa,depth,9,0.902,0.159,0.327,1.163
Qwen/Qwen2.5-7B,prontoqa,depth,10,0.914,0.151,0.288,1.233
Qwen/Qwen2.5-7B,prontoqa,depth,11,0.91,0.188,0.305,1.269
Qwen/Qwen2.5-7B,prontoqa,depth,12,0.903,0.008,0.318,1.585
Qwen/Qwen2.5-7B,prontoqa,depth,13,0.924,0.032,0.26,1.135
Qwen/Qwen2.5-7B,prontoqa,depth,14,0.903,0.152,0.314,1.257
Qwen/Qwen2.5-7B,prontoqa,depth,15,0.92,0.158,0.265,1.291
Qwen/Qwen2.5-7B,prontoqa,depth,16,0.914,0.118,0.28,1.271
Qwen/Qwen2.5-7B,prontoqa,depth,17,0.902,0.155,0.313,1.259
Qwen/Qwen2.5-7B,prontoqa,depth,18,0.911,0.118,0.287,1.269
Qwen/Qwen2.5-7B,prontoqa,depth,19,0.892,0.002,0.322,1.317
Qwen/Qwen2.5-7B,prontoqa,depth,20,0.874,-0.001,0.352,1.605
Qwen/Qwen2.5-7B,prontoqa,depth,21,0.897,0.1,0.321,1.276
Qwen/Qwen2.5-7B,prontoqa,depth,22,0.876,0.15,0.362,1.268
Qwen/Qwen2.5-7B,prontoqa,depth,23,0.912,0.001,0.285,1.324
Qwen/Qwen2.5-7B,prontoqa,depth,24,0.901,0.114,0.329,1.146
Qwen/Qwen2.5-7B,prontoqa,depth,25,0.915,0.084,0.296,1.149
Qwen/Qwen2.5-7B,prontoqa,depth,26,0.909,0.096,0.315,1.153
Qwen/Qwen2.5-7B,prontoqa,depth,27,0.914,0.019,0.291,1.548
Qwen/Qwen2.5-7B,prontoqa,depth,28,0.911,0.07,0.309,1.155
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,0.419,0.045,0.834,1.217
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,1,0.939,-0.019,0.138,1.564
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,2,0.938,0.009,0.022,1.57
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,3,0.945,0.022,0.017,1.599
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,4,0.94,0.008,0.023,1.261
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,5,0.944,-0.001,0.007,1.605
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,6,0.937,0.022,0.007,1.604
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,0.941,0.022,0.005,1.508
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,8,0.94,0.248,0.102,1.064
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,9,0.94,0.02,0.15,1.259
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,10,0.941,0.304,0.082,1.043
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,11,0.938,-0.001,0.009,1.605
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,12,0.942,0.046,0.015,1.329
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,13,0.94,0.01,0.09,1.538
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,0.94,0.426,0.097,0.894
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,15,0.939,0.637,0.008,0.759
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,16,0.941,0.093,0.01,1.449
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,17,0.94,0.133,0.042,1.246
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,18,0.94,0.061,0.02,1.528
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,19,0.941,0.098,0.045,1.285
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,20,0.94,0.054,0.036,1.568
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,21,0.942,0.005,0.004,1.526
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,22,0.94,0.518,0.127,0.976
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,23,0.892,-0.001,0.359,1.605
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,24,0.932,0.016,0.205,1.604
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,25,0.928,0.018,0.228,1.603
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,26,0.941,0.022,0.003,1.532
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,27,0.945,0.06,0.004,1.23
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,28,0.941,0.244,0.016,1.043
